molecule_chembl_id,canonical_smiles,standard_value
CHEMBL57338,C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,190546.07
CHEMBL91561,NCCCC[C@H](N)C(=O)NCC(=O)O,3235936.57
CHEMBL292467,NCC(=O)NCC(=O)O,7244359.6
CHEMBL86518,O=C(O)CN1CCCCCC(NC(CCc2ccccc2)C(=O)O)C1=O,1700.0
CHEMBL91090,CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,3715.35
CHEMBL94119,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@@H]1C(=O)O,128824.96
CHEMBL420061,NCCCC[C@H](NC(=O)CN)C(=O)O,5370317.96
CHEMBL90069,CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,21877.62
CHEMBL327608,C[C@H](N)C(=O)N1CCC[C@@H]1C(=O)O,229086.77
CHEMBL439762,CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,416869.38
CHEMBL80548,NCC(=O)N1CCC[C@H]1C(=O)O,446683.59
CHEMBL91330,CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,933254.3
CHEMBL93127,NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,3090295.43
CHEMBL90074,C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O,10000000.0
CHEMBL91623,C[C@H](CS)C(=O)N1C[C@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]1C(=O)O,18.0
CHEMBL541207,CC(C)C[C@H](N)C(=O)N[C@@H](C)C(=O)O,309029.54
CHEMBL420983,C[C@@H](O)[C@H](NC(=O)CN)C(=O)O,5754399.37
CHEMBL56035,CC(C)[C@H](NC(=O)CN)C(=O)O,4570881.9
CHEMBL329801,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)NC(CS)Cc2ccccc2)C[C@H]1C(=O)O,43.0
CHEMBL89956,N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)O,1995262.31
CHEMBL85175,O=C(O)CN1CCCCC(NC(CCc2ccccc2)C(=O)O)C1=O,700.0
CHEMBL2114219,O=C(O)CN1CCCCC[C@H](N[C@@H](CCc2ccccc2)C(=O)O)C1=O,2.0
CHEMBL88328,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]1C(=O)O,253.0
CHEMBL56119,CC(C)C[C@H](NC(=O)CN)C(=O)O,2511886.43
CHEMBL330552,CSCC[C@H](NC(=O)CN)C(=O)O,1412537.54
CHEMBL94250,C[C@H](N)C(=O)NCC(=O)O,2511886.43
CHEMBL90610,N[C@@H](CO)C(=O)NCC(=O)O,8511380.38
CHEMBL91392,NCC(=O)N[C@@H](CC(=O)O)C(=O)O,9120108.39
CHEMBL414828,C[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,42000.0
CHEMBL328594,C[C@H](O)[C@H](N)C(=O)NCC(=O)O,10000000.0
CHEMBL314707,NC1CCCN(CC(=O)O)C1=O,1700000.0
CHEMBL422419,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@H](OC(=O)NC(CS)Cc2ccccc2)C[C@H]1C(=O)O,506.0
CHEMBL17697,C[C@H](N)C(=O)N[C@@H](C)C(=O)O,616595.0
CHEMBL314706,O=C(O)CN1CCCC(NC(CCc2ccccc2)C(=O)O)C1=O,430.0
CHEMBL84966,NC1CCCCCN(CC(=O)O)C1=O,440000.0
CHEMBL93178,C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,380189.4
CHEMBL330038,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,7079457.84
CHEMBL17503,C[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)O,3801893.96
CHEMBL299889,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,630957.34
CHEMBL56923,CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,1995.26
CHEMBL92255,NC(N)=NCCC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,229086.77
CHEMBL53400,NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,208929.61
CHEMBL327588,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)O,5888436.55
CHEMBL91792,C[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,10000.0
CHEMBL96806,NCC(=O)N[C@@H](CCCN=C(N)N)C(=O)O,3235936.57
CHEMBL316103,C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,457088.19
CHEMBL90972,CSCC[C@H](N)C(=O)NCC(=O)O,4786300.92
CHEMBL86891,O=C(O)CN1CCC(NC(CCc2ccccc2)C(=O)O)C1=O,12000.0
CHEMBL312918,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]1C(=O)O,42.0
CHEMBL3350294,O=C(O)CN1CCCCC[C@@H](N[C@H](CCc2ccccc2)C(=O)O)C1=O,92.0
CHEMBL94016,C[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,87096.36
CHEMBL55433,CC[C@H](C)[C@H](NC(=O)CN)C(=O)O,1202264.43
CHEMBL89547,C[C@H](CS)C(=O)N1C[C@@H](NC(=O)C(CS)Cc2ccc(-c3ccccc3)cc2)C[C@H]1C(=O)O,696.0
CHEMBL91777,CC(C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,1584.89
CHEMBL91160,NC(N)=NCCC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,15848.93
CHEMBL86915,O=C(O)CN1CCCCCCC(NC(CCc2ccccc2)C(=O)O)C1=O,1300.0
CHEMBL8486,CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,52480.75
CHEMBL314532,NCC(=O)N[C@@H](CCC(=O)O)C(=O)O,5370317.96
CHEMBL328327,C[C@H](CS)C(=O)N1C[C@@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]1C(=O)O,87.0
CHEMBL291636,N=C(N)NCCC[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)O,912010.84
CHEMBL421171,N[C@@H](CC(=O)O)C(=O)NCC(=O)O,14125375.45
CHEMBL330316,C[C@H](CS)C(=O)N1C[C@@H](NC(=O)NC(CS)Cc2ccccc2)C[C@H]1C(=O)O,147.0
CHEMBL299759,NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,30199.52
CHEMBL91241,C[C@H](NC(=O)CN)C(=O)O,1995262.31
CHEMBL90452,N[C@@H](Cc1c[nH]cn1)C(=O)NCC(=O)O,6309573.44
CHEMBL90260,CC(C)C[C@H](NC(=O)[C@@H](N)Cc1c[nH]cn1)C(=O)O,3235936.57
CHEMBL316374,NC1CCCCN(CC(=O)O)C1=O,480000.0
CHEMBL90670,NC(=O)CC[C@H](N)C(=O)NCC(=O)O,7413102.41
CHEMBL328471,C[C@H](NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)O,457088.19
CHEMBL55711,CC(C)C[C@H](N)C(=O)NCC(=O)O,8709635.9
CHEMBL421361,N[C@@H](CCC(=O)O)C(=O)NCC(=O)O,10000000.0
CHEMBL90575,NC(N)=NCCC[C@H](N)C(=O)N1CCC[C@@H]1C(=O)O,181970.09
CHEMBL301546,CC(C)[C@H](N)C(=O)NCC(=O)O,1096478.2
CHEMBL301979,CC[C@H](C)[C@H](N)C(=O)NCC(=O)O,1202264.43
CHEMBL90973,NCC(=O)N[C@@H](CO)C(=O)O,3801893.96
CHEMBL59426,O=C(O)CNC(=O)[C@@H]1CCCN1,16982436.52
CHEMBL10521,CC(CC(=O)C(Cc1ccccc1)NC(=O)C(CCCCN)NC(=O)C1CCC1)C(=O)N1CCCC1C(=O)O.O=C(O)C(F)(F)F,3.0
CHEMBL108606,CC(C)CCC(NC(C)C(=O)N1CCCC1C(=O)O)C(=O)O,7.943
CHEMBL110925,CC(NC(CCC(=O)Nc1ccc(I)cc1)C(=O)O)C(=O)N1CCCC1C(=O)O,0.7943
CHEMBL107700,CC(NC(=O)C1CCCCC1S)C(=O)N1CCCC1C(=O)O,10.0
CHEMBL105790,CC1(CS)C(=O)N2CCCC(C(=O)O)N2C1=O,3162.28
CHEMBL321012,O=C(O)C1CCCN1C(=O)C1CCCC1S,125.89
CHEMBL80906,O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21,10.0
CHEMBL105890,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,3.981
CHEMBL10247,O=C(O)CNC(=O)C(CS)Cc1ccccc1,316.23
CHEMBL109178,CC(OP(=O)(O)C(CCc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCCC1C(=O)O,39.81
CHEMBL107635,O=C(O)CCc1cc(O)c2n(c1=O)C(C(=O)O)CC2,31.62
CHEMBL10465,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)O)c1ccccc1,10.0
CHEMBL62955,CC(NP(=O)(O)CCc1ccccc1)C(=O)N1CCCC1C(=O)O,25.12
CHEMBL105971,CC(NC(CCc1cccc2ccccc12)C(=O)O)C(=O)N1CCCC1C(=O)O,3.162
CHEMBL41289,CC(C)CC(NP(=O)(O)OC1OC(C)C(O)C(O)C1O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,5.012
CHEMBL325544,O=C(O)C1CCCN2C(=O)CC(CS)C(=O)N12,125.89
CHEMBL110870,CC(NP(=O)(O)O)C(=O)C1CCCC1C(=O)O,5.012
CHEMBL108988,O=C(O)C1CC2(CN1C(=O)CP(=O)(O)CCCCc1ccccc1)SCCS2,12.59
CHEMBL110375,CC(CS)C(=O)N1C(=O)CCC1C(=O)O,31.62
CHEMBL110439,CC1CCCC(NC(CCc2ccccc2)C(=O)O)C(=O)N1CC(=O)O,10.0
CHEMBL38405,O=C(O)CC(=O)NC(CS)Cc1ccccc1,1000000000.0
CHEMBL323051,O=C(O)C1CCC(=O)N1CCCS,1000000000.0
CHEMBL322266,O=C(O)C(CCc1ccccc1)NC1CCCC2SCC(C(=O)O)N2C1=O,1.995
CHEMBL106193,O=C(O)C1CCCN1C(=O)C1CCC1S,158.49
CHEMBL111578,O=C(SC1CCCC1C(=O)N1CCCC1C(=O)O)c1ccccc1,63.1
CHEMBL326902,O=C(O)Cn1c(=O)n2n(c1=O)C(C(=O)O)C=CC2,3.162
CHEMBL322291,O=C(O)C1C=CCn2c(=O)n(CS)c(=O)n21,2511.89
CHEMBL23849,CC(CS)C(=O)N1c2ccccc2CC1C(=O)O,12.59
CHEMBL110444,O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCS,19.95
CHEMBL172787,CC(C)C(C(=O)NC(Cc1ccc(O)cc1)C(=O)O)C(S)CCc1ccccc1,4500.0
CHEMBL174237,CC(C)C[C@@H](S)[C@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,5000.0
CHEMBL174066,CCCCC(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,6100.0
CHEMBL44139,CCC[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,6.0
CHEMBL367174,CC(C)CC(S)CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,2800.0
CHEMBL289267,O=C(O)CN1C(=O)[C@@H](N[C@@H](CSCc2ccccc2)C(=O)O)CCc2ccccc21,2.9
CHEMBL176960,CC(C)C(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,1300.0
CHEMBL38613,O=C(O)CN1C(=O)[C@@H](N[C@@H](CSc2ccccc2)C(=O)O)CCc2ccccc21,4.0
CHEMBL175110,O=C(O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccccc1)C(S)CCc1ccccc1,1600.0
CHEMBL417169,CCOC(=O)[C@H](CCCCN)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,40.0
CHEMBL171850,CC(C)CC(S)C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,710.0
CHEMBL290802,O=C(O)CN1C(=O)[C@@H](N[C@@H](Cc2ccccc2)C(=O)O)CCc2ccccc21,8.5
CHEMBL290328,COC(=O)[C@H](CC(C)C)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,1000.0
CHEMBL296331,CCOC(=O)[C@H](Cc1c[nH]c2ccccc12)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,540.0
CHEMBL172978,CCC(C)C(NC(=O)C(Cc1ccccc1)C(C)S)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,300.0
CHEMBL40806,CC(C)C[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,45.0
CHEMBL55286,CC(C)CC(S)C(Cc1ccccc1)C(=O)NC(C)C(=O)O,12000.0
CHEMBL44077,O=C(O)CN1C(=O)[C@@H](N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)CCc2ccccc21,13.0
CHEMBL173919,CC(C)CC(S)[C@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O,4000.0
